,airport_code,location,name
303,EAR,"Kearney, NE", Kearney Regional
304,EAU,"Eau Claire, WI", Chippewa Valley Regional
305,EKO,"Elko, NV", Elko Regional
306,ESC,"Escanaba, MI", Delta County
307,FLG,"Flagstaff, AZ", Flagstaff Pulliam
308,FOD,"Fort Dodge, IA", Fort Dodge Regional
309,GCC,"Gillette, WY", Gillette Campbell County
310,GUC,"Gunnison, CO", Gunnison-Crested Butte Regional
311,HDN,"Hayden, CO", Yampa Valley
312,HIB,"Hibbing, MN", Range Regional
313,HLN,"Helena, MT", Helena Regional
314,HOB,"Hobbs, NM", Lea County Regional
315,HYS,"Hays, KS", Hays Regional
316,IMT,"Iron Mountain/Kingsfd, MI", Ford
317,INL,"International Falls, MN", Falls International Einarson Field
318,JLN,"Joplin, MO", Joplin Regional
319,JMS,"Jamestown, ND", Jamestown Regional
320,JST,"Johnstown, PA", John Murtha Johnstown-Cambria County
321,LAR,"Laramie, WY", Laramie Regional
322,LBF,"North Platte, NE", North Platte Regional Airport Lee Bird Field
323,LBL,"Liberal, KS", Liberal Mid-America Regional
324,LNK,"Lincoln, NE", Lincoln Airport
325,LWB,"Lewisburg, WV", Greenbrier Valley
326,LWS,"Lewiston, ID", Lewiston Nez Perce County
327,MCW,"Mason City, IA", Mason City Municipal
328,MEI,"Meridian, MS", Key Field
329,MKG,"Muskegon, MI", Muskegon County
330,MTJ,"Montrose/Delta, CO", Montrose Regional
331,OGS,"Ogdensburg, NY", Ogdensburg International
332,OTH,"North Bend/Coos Bay, OR", Southwest Oregon Regional
333,PAH,"Paducah, KY", Barkley Regional
334,PIB,"Hattiesburg/Laurel, MS", Hattiesburg-Laurel Regional
335,PIH,"Pocatello, ID", Pocatello Regional
336,PLN,"Pellston, MI", Pellston Regional Airport of Emmet County
337,PRC,"Prescott, AZ", Prescott Regional Ernest A Love Field
338,PUB,"Pueblo, CO", Pueblo Memorial
339,RDD,"Redding, CA", Redding Municipal
340,RHI,"Rhinelander, WI", Rhinelander/Oneida County
341,RIW,"Riverton/Lander, WY", Riverton Regional
342,RKS,"Rock Springs, WY", Southwest Wyoming Regional
343,ROW,"Roswell, NM", Roswell International Air Center
344,SAF,"Santa Fe, NM", Santa Fe Municipal
345,SGU,"St. George, UT", St George Regional
346,SHD,"Staunton, VA", Shenandoah Valley Regional
347,SHR,"Sheridan, WY", Sheridan County
348,SLN,"Salina, KS", Salina Regional
349,SUN,"Sun Valley/Hailey/Ketchum, ID", Friedman Memorial
350,SUX,"Sioux City, IA", Sioux Gateway Brig Gen Bud Day Field
351,TBN,"Fort Leonard Wood, MO", Waynesville-St. Robert Regional Forney Field
352,TWF,"Twin Falls, ID", Joslin Field - Magic Valley Regional
353,VCT,"Victoria, TX", Victoria Regional
354,VEL,"Vernal, UT", Vernal Regional
355,WYS,"West Yellowstone, MT", Yellowstone
356,XWA,"Williston, ND", Williston Basin International
357,YUM,"Yuma, AZ", Yuma MCAS/Yuma International
358,ALW,"Walla Walla, WA", Walla Walla Regional
359,EAT,"Wenatchee, WA", Pangborn Memorial
360,PUW,"Pullman, WA", Pullman Moscow Regional
361,YKM,"Yakima, WA", Yakima Air Terminal/McAllister Field
362,GUM,"Guam, TT", Guam International
363,SPN,"Saipan, TT", Francisco C. Ada Saipan International
364,JAC,"Jackson, WY", Jackson Hole
365,OGD,"Ogden, UT", Ogden-Hinckley
366,ERI,"Erie, PA", Erie International/Tom Ridge Field
367,BIH,"Bishop, CA", Bishop Airport
368,ATY,"Watertown, SD", Watertown Regional
369,PIR,"Pierre, SD", Pierre Regional
370,HVN,"New Haven, CT", Tweed New Haven
371,CDB,"Cold Bay, AK", Cold Bay Airport
372,IPT,"Williamsport, PA", Williamsport Regional
373,BFM,"Mobile, AL", Mobile Downtown
374,MMH,"Mammoth Lakes, CA", Mammoth Lakes Airport
375,UIN,"Quincy, IL", Quincy Regional-Baldwin Field
376,PGV,"Greenville, NC", Pitt Greenville
377,ISN,"Williston, ND", Sloulin Field International
378,ART,"Watertown, NY", Watertown International
379,YNG,"Youngstown/Warren, OH", Youngstown-Warren Regional
380,IFP,"Bullhead City, AZ", Laughlin/Bullhead International
381,FNL,"Fort Collins/Loveland, CO", Northern Colorado Regional
382,UST,"St. Augustine, FL", Northeast Florida Regional
383,TKI,"Tokeen, AK", Tokeen Airport
384,ENV,"Wendover, UT", Wendover Airport
385,EFD,"Houston, TX", Ellington
386,CLD,"Carlsbad, CA", McClellan-Palomar
387,CEC,"Crescent City, CA", Jack McNamara Field
388,MCN,"Macon, GA", Middle Georgia Regional
389,CIC,"Chico, CA", Chico Municipal
390,FOE,"Topeka, KS", Topeka Regional
391,LMT,"Klamath Falls, OR", Crater Lake Klamath Regional
392,MOD,"Modesto, CA", Modesto City-County-Harry Sham Field
393,IYK,"Inyokern, CA", Inyokern Airport
394,IPL,"El Centro, CA", Imperial County
395,TUP,"Tupelo, MS", Tupelo Regional
396,UTM,"Tunica, MS", Tunica Municipal
397,TEX,"Telluride, CO", Telluride Regional
398,FLO,"Florence, SC", Florence Regional
399,MWH,"Moses Lake, WA", Grant County International
400,OXR,"Oxnard/Ventura, CA", Oxnard
401,PFN,"Panama City, FL", Bay County
402,PMD,"Palmdale, CA", Palmdale USAF Plant 42
403,SLE,"Salem, OR", McNary Field
404,SOP,"Pinehurst/Southern Pines, NC", Moore County
405,APF,"Naples, FL", Naples Municipal
406,MTH,"Marathon, FL", The Florida Keys Marathon International
407,MKC,"Kansas City, MO", Charles B. Wheeler Downtown
408,GLH,"Greenville, MS", Greenville Mid Delta
409,ISO,"Kinston, NC", Kinston Regional Jetport at Stallings Field
410,RCA,"Rapid City, SD", Ellsworth AFB
411,HKY,"Hickory, NC", Hickory Regional
412,VIS,"Visalia, CA", Visalia Municipal
413,FMN,"Farmington, NM", Four Corners Regional
414,LNY,"Lanai, HI", Lanai Airport
415,MKK,"Hoolehua, HI", Molokai
416,ILE,"Killeen, TX", Skylark Field
417,SKA,"Spokane, WA", Fairchild AFB
418,CBM,"Columbus, MS", Columbus AFB
419,DUT,"Unalaska, AK", Unalaska Airport
